Country,Pop_Class,Food,Mean,Z,Mean_norm
Austria,Elderly,carrot,5.1865671641791,5180.902218300532,0.001001093428449307
Austria,Elderly,cauliflower,1.95522388059701,5180.902218300532,0.0003773906161924
Austria,Elderly,cheese,22.2014925373134,5180.902218300532,0.004285256042642715
Austria,Elderly,cocoa,0.571641791044776,5180.902218300532,0.00011033634045930499
Austria,Elderly,cucumber,4.0149253731343295,5180.902218300532,0.0007749471431737091
Austria,Elderly,beans,11.8283582089552,5180.902218300532,0.0022830691857441006
Austria,Elderly,eggplant,0.977611940298508,5180.902218300532,0.0001886953080962006
Austria,Elderly,egg,8.51492537313433,5180.902218300532,0.0016435217292959147
Austria,Elderly,figs,0.597014925373134,5180.902218300532,0.00011523377593661094
Austria,Elderly,fish,23.828358208955198,5180.902218300532,0.004599268082069981
